product_id,software_name,cert_type,cert_id,cert_vendor,cert_product,pqc_algorithms,certification_level,status,cert_date,cert_link
azure-dedicated-hsm-marvell-liquidsecurity,Azure Dedicated HSM (Marvell LiquidSecurity),FIPS 140-3,4700,"Marvell Semiconductor, Inc.",NITROXIII CNN35XX-NFBE HSM Family,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-05-30,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4700
azure-dedicated-hsm-marvell-liquidsecurity,Azure Dedicated HSM (Marvell LiquidSecurity),FIPS 140-3,4703,"Marvell Semiconductor, Inc.",Marvell LS2 HSM Family,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-06-06,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4703
azure-devops,Azure DevOps,FIPS 140-3,4766,Microsoft Corporation,Kernel Mode Cryptographic Primitives Library,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-08-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4766
azure-devops,Azure DevOps,FIPS 140-3,4825,Microsoft Corporation,Cryptographic Primitives Library,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-10-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4825
azure-key-vault,Azure Key Vault,FIPS 140-3,4766,Microsoft Corporation,Kernel Mode Cryptographic Primitives Library,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-08-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4766
azure-key-vault,Azure Key Vault,FIPS 140-3,4825,Microsoft Corporation,Cryptographic Primitives Library,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-10-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4825
bitlocker-windows,BitLocker (Windows),FIPS 140-3,4688,Microsoft Corporation,BitLocker Dump Filter,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-04-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4688
bitlocker-windows,BitLocker (Windows),FIPS 140-3,4766,Microsoft Corporation,Kernel Mode Cryptographic Primitives Library,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-08-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4766
bitlocker-windows,BitLocker (Windows),FIPS 140-3,4825,Microsoft Corporation,Cryptographic Primitives Library,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-10-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4825
boringssl,BoringSSL,ACVP,A7700,"Google, Inc.",BoringCrypto,"ML-DSA, ML-KEM, SLH-DSA",,Active,2025-11-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20486
boringssl,BoringSSL,FIPS 140-3,5087,"Google, LLC.",OpenSK Cryptographic Module,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-10-23,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5087
boringssl,BoringSSL,FIPS 140-3,5104,"Google, LLC",BoringCrypto,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-12-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5104
boringssl,BoringSSL,FIPS 140-3,5165,"Google, LLC.",River Redux Cryptographic Module,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2026-03-18,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5165
bouncy-castle-c-net,Bouncy Castle C# .NET,ACVP,A6973,Legion of the Bouncy Castle Inc.,BC-FNA (Bouncy Castle FIPS .NET 4.8 API),"ML-DSA, ML-KEM, SLH-DSA",,Active,2025-05-29,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=19716
bouncy-castle-c-net,Bouncy Castle C# .NET,ACVP,A6974,Legion of the Bouncy Castle Inc.,BC-FNA (Bouncy Castle FIPS .NET 6.0 API),"ML-DSA, ML-KEM, SLH-DSA",,Active,2025-05-29,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=19717
bouncy-castle-c-net,Bouncy Castle C# .NET,ACVP,A8100,Legion of the Bouncy Castle Inc.,BC-FJA (Bouncy Castle FIPS JAVA API),"ML-DSA, ML-KEM, SLH-DSA",,Active,2026-03-09,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20860
