software_name,purl,purl_type,purl_namespace,purl_name,match_confidence,status,registry_url,last_verified_date
DigiCert TrustCore SDK,,,,,,not_found,,2026-04-01
Docker Engine 28.0,,,,,,not_found,,2026-04-01
Dogtag Certificate System,,,,,,not_found,,2026-04-01
Dragos Platform,,,,,,not_found,,2026-04-01
Druva Data Resiliency Cloud,,,,,,not_found,,2026-04-01
DuckDuckGo Browser,,,,,,not_found,,2026-04-01
Dyber QuantaTPM,,,,,,not_found,,2026-04-01
E& Nokia Quantum-Safe Network,,,,,,not_found,,2026-04-01
Eclipse Jetty,pkg:github/jetty/jetty.project,github,jetty,jetty.project,exact,matched,https://github.com/jetty/jetty.project,2026-04-01
EJBCA,pkg:github/Keyfactor/ejbca-ce,github,Keyfactor,ejbca-ce,exact,matched,https://github.com/Keyfactor/ejbca-ce,2026-04-01
Elastic Stack (ELK),,,,,,not_found,,2026-04-01
Element (Matrix Protocol),,,,,,not_found,,2026-04-01
Enquantum PQC Accelerator,,,,,,not_found,,2026-04-01
Entrust Cryptographic Platform,,,,,,not_found,,2026-04-01
Entrust Cryptographic Security Platform,,,,,,not_found,,2026-04-01
Entrust Identity as a Service (IDaaS),,,,,,not_found,,2026-04-01
Entrust KeyControl,,,,,,not_found,,2026-04-01
Entrust nShield,,,,,,not_found,,2026-04-01
Entrust PKI,,,,,,not_found,,2026-04-01
Envoy Proxy,pkg:github/envoyproxy/envoy,github,envoyproxy,envoy,exact,matched,https://github.com/envoyproxy/envoy,2026-04-01
Ericsson Quantum-Safe 5G,,,,,,not_found,,2026-04-01
ESCRYPT Automotive PQC Solutions,,,,,,not_found,,2026-04-01
essendi xc,,,,,,not_found,,2026-04-01
Ethereum (Geth),pkg:github/ethereum/go-ethereum,github,ethereum,go-ethereum,exact,matched,https://github.com/ethereum/go-ethereum,2026-04-01
ETSI TS 104 105 Hybrid PQC Standard,,,,,,not_found,,2026-04-01
EU PQC Implementation Roadmap,,,,,,not_found,,2026-04-01
EUDI Reference Wallet,pkg:github/eu-digital-identity-wallet/eudi-app-android-wallet-ui,github,eu-digital-identity-wallet,eudi-app-android-wallet-ui,exact,matched,https://github.com/eu-digital-identity-wallet/eudi-app-android-wallet-ui,2026-04-01
EVERTRUST HORIZON,,,,,,not_found,,2026-04-01
EVERTRUST STREAM,,,,,,not_found,,2026-04-01
Eviden IDnomic PKI,,,,,,not_found,,2026-04-01
Eviden PQC HSMaaS,,,,,,not_found,,2026-04-01
Eviden Trustway Proteccio NetHSM,,,,,,not_found,,2026-04-01
evolutionQ BasejumpQDN,,,,,,not_found,,2026-04-01
evolutionQ BasejumpSKI,,,,,,not_found,,2026-04-01
ExeQuantum,,,,,,not_found,,2026-04-01
ExpressVPN Lightway,,,,,,not_found,,2026-04-01
F5 ADSP PQC,,,,,,not_found,,2026-04-01
F5 BIG-IP,,,,,,not_found,,2026-04-01
Fastly Edge Cloud,,,,,,not_found,,2026-04-01
Fastly PQC CDN,,,,,,not_found,,2026-04-01
Fedora Linux,,,,,,not_found,,2026-04-01
FENASBAC Pix PQC Research,,,,,,not_found,,2026-04-01
FileVault (macOS),,,,,,not_found,,2026-04-01
Fireblocks,pkg:github/fireblocks/mpc-lib,github,fireblocks,mpc-lib,exact,matched,https://github.com/fireblocks/mpc-lib,2026-04-01
FIS Modern Banking,,,,,,not_found,,2026-04-01
Forcepoint DLP,,,,,,not_found,,2026-04-01
Fortanix Data Security Manager,,,,,,not_found,,2026-04-01
Fortanix PQC Central,,,,,,not_found,,2026-04-01
Fortinet FortiAuthenticator,,,,,,not_found,,2026-04-01
Fortinet FortiGate (FortiOS),,,,,,not_found,,2026-04-01
Fortinet FortiGate-Rugged,,,,,,not_found,,2026-04-01
Fortinet FortiManager,,,,,,not_found,,2026-04-01
Fortinet FortiOS,,,,,,not_found,,2026-04-01
Fortinet FortiWeb,,,,,,not_found,,2026-04-01
Forward Edge-AI Isidore Quantum,,,,,,not_found,,2026-04-01
Forward Edge-AI Space Router,,,,,,not_found,,2026-04-01
FreeBSD,pkg:github/freebsd/freebsd-src,github,freebsd,freebsd-src,exact,matched,https://github.com/freebsd/freebsd-src,2026-04-01
FreeRTOS,pkg:github/FreeRTOS/FreeRTOS,github,FreeRTOS,FreeRTOS,exact,matched,https://github.com/FreeRTOS/FreeRTOS,2026-04-01
Fujitsu PQC Networks,,,,,,not_found,,2026-04-01
FusionAuth,pkg:github/FusionAuth/fusionauth-issues,github,FusionAuth,fusionauth-issues,exact,matched,https://github.com/FusionAuth/fusionauth-issues,2026-04-01
Futurex Cloud,,,,,,not_found,,2026-04-01
Futurex CryptoHub,,,,,,not_found,,2026-04-01
Futurex Vectera Plus,,,,,,not_found,,2026-04-01
G+D Quantum-Safe SIM Platform,,,,,,not_found,,2026-04-01
Garantir GaraTrust,,,,,,not_found,,2026-04-01
General Dynamics Mission,,,,,,not_found,,2026-04-01
Genua Quantum-Resistant VPN,,,,,,not_found,,2026-04-01
Giesecke+Devrient PQC ID Card,,,,,,not_found,,2026-04-01
GitHub Actions,,,,,,not_found,,2026-04-01
GitHub Copilot Security,,,,,,not_found,,2026-04-01
GitHub SSH PQC,,,,,,not_found,,2026-04-01
GitLab CI/CD,,,,,,not_found,,2026-04-01
GlobalSign Atlas CLM,,,,,,not_found,,2026-04-01
GlobalSign Digital Signing Service,,,,,,not_found,,2026-04-01
Gmail / Google Workspace,,,,,,not_found,,2026-04-01
GnuPG,pkg:github/gpg/gnupg,github,gpg,gnupg,exact,matched,https://github.com/gpg/gnupg,2026-04-01
